name,version
@babel/plugin-transform-regenerator,7.22.5
@babel/plugin-transform-reserved-words,7.22.5
@babel/plugin-transform-runtime,7.22.5
@babel/plugin-transform-shorthand-properties,7.22.5
@babel/plugin-transform-spread,7.22.5
@babel/plugin-transform-sticky-regex,7.22.5
@babel/plugin-transform-template-literals,7.22.5
@babel/plugin-transform-typeof-symbol,7.22.5
@babel/plugin-transform-typescript,7.22.5
@babel/plugin-transform-unicode-escapes,7.22.5
@babel/plugin-transform-unicode-property-regex,7.22.5
@babel/plugin-transform-unicode-regex,7.22.5
@babel/plugin-transform-unicode-sets-regex,7.22.5
@babel/preset-env,7.22.5
@babel/preset-modules,0.1.5
@babel/preset-react,7.22.5
@babel/preset-typescript,7.22.5
@babel/regjsgen,0.8.0
@babel/runtime,7.27.6
@babel/template,7.27.2
@babel/traverse,7.28.0
@babel/types,7.28.1
@compiled/react,0.18.6
@csstools/normalize.css,12.0.0
@csstools/postcss-cascade-layers,1.1.1
@csstools/postcss-color-function,1.1.1
@csstools/postcss-font-format-keywords,1.0.1
@csstools/postcss-hwb-function,1.0.2
@csstools/postcss-ic-unit,1.0.1
@csstools/postcss-is-pseudo-class,2.0.7
@csstools/postcss-nested-calc,1.0.0
@csstools/postcss-normalize-display-values,1.0.1
@csstools/postcss-oklab-function,1.1.1
@csstools/postcss-progressive-custom-properties,1.3.0
@csstools/postcss-stepped-value-functions,1.0.1
@csstools/postcss-text-decoration-shorthand,1.0.0
@csstools/postcss-trigonometric-functions,1.0.2
@csstools/postcss-unset-value,1.0.2
@csstools/selector-specificity,2.2.0
@emotion/hash,0.9.2
@emotion/memoize,0.9.0
@emotion/react,11.14.0
@emotion/serialize,1.3.3
@emotion/unitless,0.10.0
@emotion/utils,1.4.2
@eslint-community/regexpp,4.5.1
@forge/api,6.4.3
@forge/auth,0.0.9
@forge/bridge,5.10.2
@forge/egress,2.3.1
@forge/i18n,0.0.7
@forge/manifest,11.3.2
@forge/resolver,1.7.1
@forge/storage,2.0.3
@isaacs/balanced-match,4.0.1
@isaacs/brace-expansion,5.0.0
@isaacs/cliui,8.0.2
@istanbuljs/load-nyc-config,1.1.0
@istanbuljs/schema,0.1.3
@jest/console,28.1.3
@jest/diff-sequences,30.0.1
@jest/expect-utils,30.2.0
@jest/get-type,30.1.0
@jest/pattern,30.0.1
@jest/schemas,28.1.3
@jest/schemas,30.0.5
@jest/test-result,28.1.3
@jest/transform,27.5.1
@jest/types,27.5.1
@jest/types,28.1.3
@jest/types,30.2.0
@jridgewell/gen-mapping,0.3.12
@jridgewell/trace-mapping,0.3.29
@nicolo-ribaudo/eslint-scope-5-internals,5.1.1-v1
@playwright/test,1.58.0
@pmmmwh/react-refresh-webpack-plugin,0.5.17
@popperjs/core,2.11.8
@rollup/plugin-babel,5.3.1
@rollup/plugin-node-resolve,11.2.1
@rollup/plugin-replace,2.4.2
@rollup/pluginutils,3.1.0
@rushstack/eslint-patch,1.3.2
@sentry-internal/tracing,7.106.0
@sentry/core,7.106.0
@sentry/node,7.106.0
@sentry/types,7.106.0
@sentry/utils,7.106.0
@statsig/client-core,3.18.2
@statsig/client-core,3.19.0
@statsig/js-client,3.18.2
@statsig/js-client,3.19.0
@surma/rollup-plugin-off-main-thread,2.2.3
@svgr/core,5.5.0
@svgr/plugin-jsx,5.5.0
@svgr/plugin-svgo,5.5.0
@svgr/webpack,5.5.0
@testing-library/dom,10.4.1
@testing-library/jest-dom,6.9.1
@testing-library/react,16.3.2
@testing-library/user-event,14.6.1
@trysound/sax,0.2.0
@types/aria-query,5.0.4
@types/babel__core,7.20.1
@types/babel__generator,7.6.4
@types/babel__template,7.4.1
@types/babel__traverse,7.20.1
@types/eslint,8.40.2
@types/estree,0.0.39
@types/estree,1.0.8
@types/graceful-fs,4.1.6
@types/history,4.7.11
@types/html-minifier-terser,6.1.0
@types/iframe-resizer,3.5.13
@types/istanbul-lib-coverage,2.0.6
@types/istanbul-reports,3.0.4
@types/jest,30.0.0
@types/json-schema,7.0.15
@types/json5,0.0.29
@types/linkify-it,5.0.0
@types/markdown-it,14.1.2
@types/mdurl,2.0.0
@types/node,25.0.10
@types/parse-json,4.0.0
@types/q,1.5.5
@types/react,19.2.9
@types/react-dom,19.2.3
@types/resolve,1.17.1
@types/stack-utils,2.0.3
@types/trusted-types,2.0.3
@types/yargs,17.0.35
@types/yargs-parser,21.0.0
@typescript-eslint/eslint-plugin,5.60.1
@typescript-eslint/experimental-utils,5.60.1
@typescript-eslint/parser,5.60.1
@typescript-eslint/scope-manager,5.60.1
@typescript-eslint/type-utils,5.60.1
@typescript-eslint/types,5.60.1
@typescript-eslint/typescript-estree,5.60.1
@typescript-eslint/utils,5.60.1
@typescript-eslint/visitor-keys,5.60.1
abab,2.0.6
address,1.2.2
adjust-sourcemap-loader,4.0.0
ajv,6.12.6
ajv,8.12.0
ajv,8.17.1
ajv-formats,2.1.1
ajv-keywords,3.5.2
ajv-keywords,5.1.0
ansi-escapes,4.3.2
ansi-html,0.0.9
ansi-regex,5.0.1
ansi-regex,6.2.2
ansi-styles,3.2.1
ansi-styles,4.3.0
ansi-styles,5.2.0
ansi-styles,6.2.3
any-promise,1.3.0
anymatch,3.1.3
arg,5.0.2
argparse,1.0.10
argparse,2.0.1
aria-query,5.3.0
array-includes,3.1.6
array-union,2.1.0
array.prototype.flat,1.3.1
array.prototype.flatmap,1.3.1
array.prototype.tosorted,1.1.1
asap,2.0.6
ast-types-flow,0.0.7
async,3.2.4
at-least-node,1.0.0
autoprefixer,10.4.14
axe-core,4.7.2
axobject-query,3.2.1
babel-jest,27.5.1
babel-loader,8.3.0
babel-plugin-istanbul,6.1.1
babel-plugin-jest-hoist,27.5.1
babel-plugin-macros,3.1.0
babel-plugin-named-asset-import,0.3.8
babel-plugin-polyfill-corejs2,0.4.3
babel-plugin-polyfill-corejs3,0.8.1
babel-plugin-polyfill-regenerator,0.5.0
babel-plugin-transform-react-remove-prop-types,0.4.24
babel-preset-current-node-syntax,1.0.1
babel-preset-jest,27.5.1
babel-preset-react-app,10.0.1
balanced-match,1.0.2
bfj,7.0.2
big.js,5.2.2
bind-event-listener,3.0.0
bluebird,3.7.2
boolbase,1.0.0
brace-expansion,2.0.2
browserslist,4.25.1
bs-logger,0.2.6
bser,2.1.1
builtin-modules,3.3.0
call-bind,1.0.2
call-bind-apply-helpers,1.0.2
camel-case,4.1.2
camelcase,5.3.1
camelcase,6.3.0
camelcase-css,2.0.1
caniuse-api,3.0.0
caniuse-lite,1.0.30001727
case-sensitive-paths-webpack-plugin,2.4.0
chalk,2.4.2
chalk,4.1.2
char-regex,1.0.2
char-regex,2.0.1
check-types,11.1.2
cheerio,1.1.2
cheerio-select,2.1.0
chokidar,3.5.3
clean-css,5.3.2
coa,2.0.2
collect-v8-coverage,1.0.1
color-convert,1.9.3
color-convert,2.0.1
color-name,1.1.3
colord,2.9.3
commander,4.1.1
commander,7.2.0
commander,8.3.0
common-tags,1.8.2
commondir,1.0.1
confusing-browser-globals,1.0.11
convert-source-map,1.8.0
core-js,3.31.0
core-js-compat,3.31.0
core-js-pure,3.31.0
cosmiconfig,6.0.0
cosmiconfig,7.0.1
cross-spawn,7.0.6
crypto-random-string,2.0.0
css-blank-pseudo,3.0.3
css-color-names,0.0.4
css-declaration-sorter,6.4.0
css-has-pseudo,3.0.4
css-loader,6.8.1
css-minimizer-webpack-plugin,3.4.1
css-prefers-color-scheme,6.0.3
css-select,2.1.0
css-select,4.3.0
css-select,5.2.2
css-select-base-adapter,0.1.1
css-tree,1.0.0-alpha.37
css-tree,1.1.3
css-what,3.4.2
css-what,6.1.0
